accommodation_id,Sector,Property Reg Number,Account Name,Rating,Address City/Town,Address County,Eircode/Postal code,Latitude,Longitude,Owner(s) as it appears on Register,Total Units
912,13,BBL24400,Coastline House,4.0,Dingle,4.0,V92 P028,52.1406,-10.28464,Vivienne O'Shea,6
913,13,BBL10932,Coill An Rois,4.0,Tralee,4.0,V92 PK85,52.21697,-10.32917,Jimmy Bruic,4
914,13,BBL11442,Cois Abhainn,4.0,Clare Island,4.0,F28 PP93,53.79455,-10.03069,Mary O'Malley,4
915,13,BBL10144,Cois Farraige,4.0,Lahinch,4.0,V95 DA25,52.92463,-9.3491,Rosemary Donohue,6
916,13,BBL10656,Collinswood,4.0,Swords,4.0,K67 P8X3,53.4612,-6.22731,Jim White,4
917,13,BBL10803,Consilio,4.0,Galway,4.0,H91 E9V2,53.2665,-9.06707,Stella Faherty,4
918,13,BBL11934,Coolakay House,4.0,Enniskerry,4.0,A98 AE92,53.16669,-6.18816,Yvonne Roe,4
919,7,WSL41164,Coolanowle Self Catering Accommodation,3.0,Ballickmoyler,3.0,R93 C3K4,52.90783,-7.03001,Bernadine Mulhall,5
920,13,BBL11335,Coolrahnee House,4.0,Askeaton,4.0,V94 RP48,52.6034,-8.98078,Oliver and Catherine Scanlan,4
921,13,BBL12996,Coomassig View,4.0,Sneem,4.0,V93 XY83,51.83859,-9.91198,Maureen Murphy,4
922,10,SCL15592,Cornagill Cottage,4.0,Letterkenny,4.0,F92 DH5H,54.96839,-7.68212,Eileen Langan,1
923,10,SCL15365,Cornode - Lakeside,4.0,Portroe,4.0,E45 FX37,52.90397,-8.36165,Gerardine Malone,3
924,13,BBL10086,Corofin Country House,4.0,Corofin,4.0,V95 N6Y3,52.93914,-9.06642,Mary Shannon,3
925,7,WSL41050,Corrib House,3.0,Galway city,3.0,H91 NXV1,53.27652,-9.05494,David Bohan,5
926,13,BBL10746,Corrib View,4.0,Corrandulla,4.0,H91 F9V9,53.36852,-9.05873,Mary Scott Furey,3
927,13,BBL10853,Corrib View Country House,4.0,Oughterard,4.0,H91 YD65,53.42574,-9.27002,Ethel Lee,5
928,10,SCL15945,Country Cottages,4.0,Ballyvaughan,4.0,H91 AEX9,53.12818,-9.12404,Raymond Quinn,3
929,10,SCL15663,Courtyard Cottages,4.0,Tralee,4.0,V92 KT28,52.24647,-9.73188,Myra Daly,4
