Name,Rating,Latitude,Longitude,Address,Tags
Bective Abbey,4.7,53.582475,-6.702971499999999,"R161, Bective, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
World Poverty Stone,4.5,53.3479863,-6.249372399999999,"North Wall, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Brú na Bóinne,4.7,53.694671,-6.475575,"Drogheda, Co. Meath, A92 EH5C, Ireland","tourist_attraction, park, point_of_interest, establishment"
Athlumney Castle,4.2,53.6502851,-6.6751391,"Convent Rd, Athlumney, Navan, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Glendalough Roundtower,4.8,53.0109234,-6.3277136,"Knockfin, Co. Wicklow, Ireland","point_of_interest, establishment"
O'Connell Monument,4.4,53.34775819999999,-6.2593421,"O'Connell Street Lower, North City, Dublin 1, D01 TX31, Ireland","tourist_attraction, point_of_interest, establishment"
The Guinness Tower (1864),4.3,53.5371264,-9.2952108,"Cong North, Cong, Co. Mayo, Ireland","tourist_attraction, point_of_interest, establishment"
Brendan Behan Statue,4.4,53.3617401,-6.260250099999999,"Royal Canal Drumcondra 2nd Lock, Dorset Ln, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Giant's Causeway,4.7,55.2408073,-6.5115554,"Bushmills BT57 8SU, United Kingdom","tourist_attraction, park, point_of_interest, establishment"
Beaghmore Stone Circles Landmark,4.7,54.7016225,-6.9391681,"64-62 Blackrock Rd, Cookstown BT80 9PA, United Kingdom","point_of_interest, establishment"
The Grey Abbey,4.6,53.1530613,-6.9143022,"Grey Abbey Rd, Kildare, Ireland","tourist_attraction, point_of_interest, establishment"
Experience Glasnevin - Ireland's National Cemetery,4.8,53.37003,-6.2770874,"Finglas Rd, Glasnevin, Dublin, D11 H2TH, Ireland","tourist_attraction, travel_agency, point_of_interest, establishment"
Dublinia,4.5,53.34312689999999,-6.2719444,"St Michaels Hill Christ Church, Dublin 8, Ireland","tourist_attraction, museum, point_of_interest, establishment"
St. Kevin's Bed,4.7,53.00402099999999,-6.354656299999999,"Lugduff, Glendalough, Co. Wicklow, Ireland","tourist_attraction, point_of_interest, establishment"
Christ Church Cathedral,4.5,53.34351299999999,-6.2710602,"Christchurch Pl, Wood Quay, Dublin, D08 TF98, Ireland","tourist_attraction, church, place_of_worship, point_of_interest, establishment"
Cahir Castle,4.6,52.3745471,-7.9270751,"Castle St, Townparks, Cahir, Co. Tipperary, E21 P652, Ireland","tourist_attraction, point_of_interest, establishment"
